"year","sem","time","post","Comune_ISTAT","Comune_amm","Comune_descrizione","Fascia","Zona","LinkZona","zone_key","price_mid","Compr_min","Compr_max","CODCOM","CODZONA","cx","cy","dist_cortina_km","dist_bin","log_price"
2021,1,2021,1,5025017,"D247","DANTA DI CADORE","R","R1","BL00002064","D247_R1",900,800,1000,"D247","R1",768683.054699835,5162518.59382794,28.6269163417099,"20-40 km",6.80239476332431
2021,1,2021,1,5025018,"D330","DOMEGGE DI CADORE","B","B1","BL00000425","D330_B1",1225,1150,1300,"D330","B1",762247.72202988,5150879.8556578,23.4043271660344,"20-40 km",7.11069612297883
2021,1,2021,1,5025018,"D330","DOMEGGE DI CADORE","D","D1","BL00000426","D330_D1",1175,1050,1300,"D330","D1",760977.61646459,5149826.39746392,22.6204988380064,"20-40 km",7.06902342657826
2021,1,2021,1,5025018,"D330","DOMEGGE DI CADORE","R","R1","BL00002124","D330_R1",1025,900,1150,"D330","R1",763502.153696233,5149495.68965867,25.0741409601241,"20-40 km",6.93244789157251
2021,1,2021,1,5025019,"D470","FALCADE","B","B1","BL00000441","D470_B1",1925,1600,2250,"D470","B1",721439.235490908,5137997.18011434,28.1784484697471,"20-40 km",7.56268124672188
2021,1,2021,1,5025019,"D470","FALCADE","E","E1","BL00000443","D470_E1",1600,1400,1800,"D470","E1",721209.771617377,5139175.21846539,27.4725664891104,"20-40 km",7.37775890822787
2021,1,2021,1,5025019,"D470","FALCADE","R","R1","BL00002140","D470_R1",1550,1400,1700,"D470","R1",718785.191651955,5137804.73475555,30.1525379364196,"20-40 km",7.34601020991329
2021,1,2021,1,5025021,"D530","FELTRE","B","B2","BL00001764","D530_B2",1275,1100,1450,"D530","B2",725179.862034384,5100230.65708513,60.6309706227581,"60-80 km",7.15070145759253
2021,1,2021,1,5025022,"D686","FONZASO","B","B1","BL00000501","D686_B1",825,750,900,"D686","B1",717228.936253191,5099481.69709272,63.7805625314227,"60-80 km",6.71538338633468
2021,1,2021,1,5025022,"D686","FONZASO","D","D1","BL00000502","D686_D1",725,650,800,"D686","D1",717318.226325234,5098512.8199156,64.6531371830241,"60-80 km",6.58617165485467
2021,1,2021,1,5025022,"D686","FONZASO","R","R1","BL00002151","D686_R1",725,650,800,"D686","R1",717002.881964992,5098304.18650233,64.9605371692754,"60-80 km",6.58617165485467
2021,1,2021,1,5025025,"E113","GOSALDO","B","B1","BL00001920","E113_B1",1000,900,1100,"E113","B1",727971.115701068,5123192.08884304,37.8182103356121,"20-40 km",6.90775527898214
2021,1,2021,1,5025025,"E113","GOSALDO","R","R1","BL00002147","E113_R1",825,750,900,"E113","R1",729434.624381879,5121762.4051867,38.7379097554225,"20-40 km",6.71538338633468
2021,1,2021,1,5025026,"E429","LAMON","B","B1","BL00000554","E429_B1",775,700,850,"E429","B1",712797.841424896,5103046.25050856,62.2945543321196,"60-80 km",6.65286302935335
2021,1,2021,1,5025026,"E429","LAMON","D","D2","BL00002280","E429_D2",725,650,800,"E429","D2",712214.257234779,5102462.69893636,63.0762641295569,"60-80 km",6.58617165485467
2021,1,2021,1,5025026,"E429","LAMON","R","R1","BL00002004","E429_R1",600,500,700,"E429","R1",710596.245048211,5104166.04550278,62.309821979878,"60-80 km",6.39692965521615
