"zone_key","CODCOM","CODZONA","cx","cy","dist_cortina_km"
"E429_R1","E429","R1",710596.245048211,5104166.04550278,62.309821979878
"E429_D2","E429","D2",712214.257234779,5102462.69893636,63.0762641295569
"E429_B1","E429","B1",712797.841424896,5103046.25050856,62.2945543321196
"E490_R1","E490","R1",738741.919256474,5129921.65387941,29.0703990695164
"E490_B1","E490","B1",736282.953973719,5129927.58667883,29.2976236376302
"E588_B2","E588","B2",746409.34686133,5110244.73478874,49.0908814835235
"E588_R3","E588","R3",749170.057126167,5106114.16451398,53.5800049763126
"E588_D2","E588","D2",744935.774136415,5109407.54728202,49.7621731936547
"E588_R2","E588","R2",745534.866148256,5109474.46820519,49.7552568929759
"E588_E2","E588","E2",744190.917513916,5109903.76444433,49.2033440481485
"E622_R1","E622","R1",724628.711623893,5153556.46323419,16.5543009105212
"E622_B2","E622","B2",720554.375631908,5153313.59735219,20.5147697915123
"E622_B1","E622","B1",726883.423472403,5151599.46090842,15.2806804305964
"E622_E1","E622","E1",728259.576504827,5151424.19115718,14.182079960747
"E687_R1","E687","R1",767831.813123215,5150923.5297213,28.6982440624375
"E687_B1","E687","B1",765581.489651407,5153149.94721305,25.9587970197122
"E708_R1","E708","R1",762604.294737401,5156270.5629966,22.485411142272
"E708_B1","E708","B1",764425.16791751,5153896.53529801,24.6693339693673
"G169_R1","G169","R1",754604.17536311,5135748.45993408,27.2686322030709
"G169_B1","G169","B1",755738.150076274,5135870.54580012,27.7795209259817
"G442_R1","G442","R1",759406.388439151,5139831.70224527,27.0445691939498
"G442_B2","G442","B2",758925.050011108,5143248.58724,24.377096460455
"G442_B1","G442","B1",758050.460657421,5143660.66143018,23.4440036333138
"H327_R1","H327","R1",734260.134850667,5125371.40798529,34.1151588886289
"H327_B1","H327","B1",733050.508845952,5126509.37961153,33.2375982085528
"H327_E1","H327","E1",733648.890819064,5126938.95918533,32.6918427638493
"H379_R1","H379","R1",725117.620473643,5145944.52689852,19.9763244224611
